player_id,player_name,player_nickname,jersey_number,country,team_id,team_name
3261,Benjamin Mendy,,23,"{'id': 78, 'name': 'France'}",147,Olympique de Marseille
3262,Łukasz Fabiański,,1,"{'id': 182, 'name': 'Poland'}",26,Swansea City
3263,Craig Cathcart,,15,"{'id': 169, 'name': 'Northern Ireland'}",23,Watford
3264,Vincent Janssen,,18,"{'id': 160, 'name': 'Netherlands'}",941,Netherlands
3265,José Luis Sanmartín Mato,Joselu,7,"{'id': 214, 'name': 'Spain'}",219,RC Deportivo La Coruña
3267,Luis Antonio Valencia Mosquera,Antonio Valencia,25,"{'id': 65, 'name': 'Ecuador'}",39,Manchester United
3269,Francisco Femenía Far,Kiko Femenía,21,"{'id': 214, 'name': 'Spain'}",206,Deportivo Alavés
3270,Danny Simpson,,17,"{'id': 68, 'name': 'England'}",22,Leicester City
3272,Oriol Romeu Vidal,Oriol Romeu,6,"{'id': 214, 'name': 'Spain'}",33,Chelsea
3275,Henrikh Mkhitaryan,,10,"{'id': 12, 'name': 'Armenia'}",180,Borussia Dortmund
3277,Yohan Cabaye,,7,"{'id': 78, 'name': 'France'}",31,Crystal Palace
3278,Benik Afobe,,20,"{'id': 52, 'name': 'Congo, (Kinshasa)'}",28,AFC Bournemouth
3279,José Heriberto Izquierdo Mena,José Izquierdo,21,"{'id': 49, 'name': 'Colombia'}",769,Colombia
3280,Richarlison de Andrade,Richarlison,9,"{'id': 31, 'name': 'Brazil'}",781,Brazil
3281,Aaron Mooy,,13,"{'id': 14, 'name': 'Australia'}",792,Australia
3286,Nathan Redmond,,22,"{'id': 68, 'name': 'England'}",56,Norwich City
3287,Nathaniel Chalobah,,94,"{'id': 68, 'name': 'England'}",227,Napoli
3288,Miguel Ángel Britos Cabrera,Miguel Britos,3,"{'id': 242, 'name': 'Uruguay'}",23,Watford
3289,Romelu Lukaku Menama,Romelu Lukaku,10,"{'id': 22, 'name': 'Belgium'}",29,Everton
3290,Federico Fernández,,33,"{'id': 11, 'name': 'Argentina'}",26,Swansea City
3291,Joe Hart,,1,"{'id': 68, 'name': 'England'}",36,Manchester City
3292,Abdoulaye Doucouré,,16,"{'id': 140, 'name': 'Mali'}",1049,Granada
3293,Jesse Lingard,,35,"{'id': 68, 'name': 'England'}",39,Manchester United
3294,Juan Manuel Mata García,Juan Mata,10,"{'id': 214, 'name': 'Spain'}",33,Chelsea
3295,Thiago Emiliano da Silva,Thiago Silva,2,"{'id': 31, 'name': 'Brazil'}",131,Paris Saint-Germain
3296,Marouane Fellaini-Bakkioui,Marouane Fellaini,27,"{'id': 22, 'name': 'Belgium'}",39,Manchester United
3297,Andros Townsend,,25,"{'id': 68, 'name': 'England'}",37,Newcastle United
3300,Maya Yoshida,,3,"{'id': 114, 'name': 'Japan'}",25,Southampton
3301,Nicolas Benezet,,10,"{'id': 78, 'name': 'France'}",142,Guingamp
3302,Nordin Amrabat,,2,"{'id': 154, 'name': 'Morocco'}",223,Málaga
3304,Harry Arter,,8,"{'id': 109, 'name': 'Ireland'}",28,AFC Bournemouth
3306,Nathan Aké,,16,"{'id': 160, 'name': 'Netherlands'}",23,Watford
3307,Marc Albrighton,,11,"{'id': 68, 'name': 'England'}",22,Leicester City
3308,Kieran Trippier,,2,"{'id': 68, 'name': 'England'}",38,Tottenham Hotspur
3309,Sebastian Prödl,,5,"{'id': 15, 'name': 'Austria'}",23,Watford
3310,Tom Carroll,,28,"{'id': 68, 'name': 'England'}",38,Tottenham Hotspur
3311,Daley Blind,,17,"{'id': 160, 'name': 'Netherlands'}",39,Manchester United
3312,Demarai Gray,,22,"{'id': 68, 'name': 'England'}",22,Leicester City
3313,Giovani Lo Celso,,21,"{'id': 11, 'name': 'Argentina'}",218,Real Betis
3314,Phil Jones,,4,"{'id': 68, 'name': 'England'}",39,Manchester United
3316,James Tomkins,,5,"{'id': 68, 'name': 'England'}",40,West Ham United
3317,Kasey Palmer,,38,"{'id': 113, 'name': 'Jamaica'}",33,Chelsea
3318,Marcus Rashford,,10,"{'id': 68, 'name': 'England'}",39,Manchester United
3319,Yacine Bammou,,10,"{'id': 154, 'name': 'Morocco'}",144,Nantes
3321,Patrick van Aanholt,,3,"{'id': 160, 'name': 'Netherlands'}",41,Sunderland
3322,Jonas Lössl,,16,"{'id': 61, 'name': 'Denmark'}",776,Denmark
3323,Tyrone Mings,,14,"{'id': 68, 'name': 'England'}",28,AFC Bournemouth
3324,Eric Bertrand Bailly,Eric Bailly,24,"{'id': 55, 'name': ""Côte d'Ivoire""}",222,Villarreal
3325,Marko Arnautović,,10,"{'id': 15, 'name': 'Austria'}",30,Stoke City
3326,Chung-Yong Lee,Lee Chung-Yong,14,"{'id': 121, 'name': 'Korea\xa0(South)'}",31,Crystal Palace
3328,James Ward-Prowse,,16,"{'id': 68, 'name': 'England'}",25,Southampton
3329,Cédric Ricardo Alves Soares,Cédric Soares,2,"{'id': 183, 'name': 'Portugal'}",25,Southampton
3333,David de Gea Quintana,David de Gea,1,"{'id': 214, 'name': 'Spain'}",39,Manchester United
3336,Harry Maguire,,6,"{'id': 68, 'name': 'England'}",768,England
3337,Jermain Defoe,,18,"{'id': 68, 'name': 'England'}",38,Tottenham Hotspur
3338,Onyinye Wilfred Ndidi,Wilfred Ndidi,4,"{'id': 166, 'name': 'Nigeria'}",775,Nigeria
3339,Asmir Begović,,1,"{'id': 28, 'name': 'Bosnia and Herzegovina'}",33,Chelsea
